Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Ridge Close, Holders Hill, London, NW4","£1,300,000",Detached,8.0,3.0,"2,403 sq ft"
"The Hexagon Building, Newton Street, London, WC2B","£1,300,000",Apartment,1.0,1.0,625 sq ft
"Netherhall Gardens, Hampstead","£1,300,000",Detached,3.0,2.0,Ask agent
"Bryanston Place, Marylebone, W1H","£1,300,000",Apartment,2.0,2.0,840 sq ft
"Mandrake Road, SW17","£1,300,000",Terraced,4.0,2.0,Ask agent
"Egerton Gardens, Knightsbridge, SW3","£1,300,000",Apartment,2.0,2.0,"1,157 sq ft"
"Melrose Avenue, London, NW2","£1,300,000",Semi-Detached,3.0,3.0,"1,961 sq ft"
"Wanstead Park Avenue , Aldersbrook","£1,300,000",Detached,4.0,2.0,"1,786 sq ft"
"Abbey Road, St John's Wood, London, NW8","£1,300,000",Flat,3.0,2.0,"1,350 sq ft"
"The Yoo Building, 17 Hall Road, St John's Wood, NW8","£1,300,000",Apartment,2.0,2.0,"1,361 sq ft"
"Elgin Crescent, London, W11","£1,300,000",Flat,1.0,1.0,717 sq ft
"Empress Avenue, Aldersbrook","£1,300,000",Semi-Detached,5.0,2.0,Ask agent
"Williams Lane, 
East Sheen, SW14","£1,300,000",Semi-Detached,4.0,3.0,Ask agent
"Temple Fortune Lane, London, NW11","£1,300,000",Semi-Detached,4.0,2.0,Ask agent
"South Western Road, St Margarets Village","£1,300,000",Semi-Detached,4.0,2.0,Ask agent
"Totteridge Lane, Totteridge, N20","£1,300,000",Detached,4.0,1.0,"2,172 sq ft"
"Fulham Reach, Hammersmith, London, W6","£1,300,000",Flat,2.0,2.0,916 sq ft
"Crown Lodge, Elystan Street, Chelsea","£1,300,000",Flat,2.0,2.0,797 sq ft
"Clarence Gate Gardens, Baker Street, London, NW1","£1,300,000",Flat,3.0,2.0,"1,002 sq ft"
"Capital Wharf, Wapping High Street, London, E1W","£1,300,000",Apartment,2.0,2.0,954 sq ft
"Inglethorpe Street, Fulham, London, SW6","£1,300,000",End of Terrace,2.0,2.0,"1,335 sq ft"
"Greencoat Place, London, SW1P","£1,300,000",Terraced,2.0,2.0,900 sq ft
"Ormonde Court, Belsize Grove, London, NW3","£1,300,000",Flat,2.0,2.0,"1,164 sq ft"
"Wolfe House, 389 Kensington High Street, London, W14","£1,300,000",Flat,2.0,2.0,849 sq ft
"Churchfield Road, London","£1,300,000",Apartment,8.0,4.0,Ask agent
"78 Nightingale Place, London, SW4","£1,300,000",Retirement Property,2.0,2.0,Ask agent
"Cambridge Square, London","£1,300,000",Apartment,3.0,2.0,"1,057 sq ft"
"Holmesdale Road, Highgate","£1,300,000",House,4.0,2.0,"1,324 sq ft"
"The Windsor, Michael road, SW6","£1,300,000",Apartment,2.0,2.0,Ask agent
"Mapledene Road, Hackney","£1,300,000",Terraced,5.0,2.0,Ask agent
"Baizdon Road, London, SE3","£1,300,000",Semi-Detached,5.0,2.0,"2,148 sq ft"
"King William Walk, Greenwich, London, SE10","£1,300,000",Terraced,4.0,2.0,Ask agent
"Barry Road, East Dulwich","£1,300,000",House,4.0,2.0,Ask agent
"Wiverton Tower, 4 New Drum Street, London, E1","£1,300,000",Apartment,2.0,2.0,904 sq ft
"Asquith House, 1 Segrave Walk, London, London, W2","£1,300,000",Flat,2.0,2.0,814 sq ft
"Dean Ryle Street, London, SW1P","£1,250,000",Flat,2.0,2.0,996 sq ft
"Warneford Street, Hackney, E9","£1,300,000",Semi-Detached,4.0,2.0,Ask agent
"Rousden Street, London, NW1","£1,300,000",House,5.0,2.0,Ask agent
"Clarence Gate Gardens, Baker Street, London, NW1","£1,300,000",Flat,3.0,2.0,"1,393 sq ft"
"Clifton Mansions, 
Park Avenue, NW2","£1,300,000",Flat,3.0,2.0,940 sq ft
"Woodland Road, London, SE19, Crystal Palace, London, SE19","£1,300,000",End of Terrace,5.0,2.0,"1,610 sq ft"
"Howard Building, Chelsea Bridge Wharf, London, SW11","£1,300,000",Apartment,2.0,2.0,908 sq ft
"Gartmoor Gardens, London","£1,300,000",Terraced,4.0,2.0,Ask agent
"Williams Lane, Mortlake","£1,300,000",Semi-Detached,4.0,3.0,Ask agent
"Arlington Road, London, NW1","£1,300,000",Apartment,3.0,3.0,Ask agent
"Strathville Road, Earlsfield","£1,300,000",House,4.0,2.0,Ask agent
"Lee Terrace, Blackheath, London, SE3","£1,300,000",Flat,3.0,3.0,"1,471 sq ft"
"Langley Drive, Wanstead","£1,300,000",Semi-Detached,4.0,,Ask agent
"Haldane Road, London, SW6","£1,300,000",End of Terrace,2.0,2.0,"1,077 sq ft"
"Stockfield Road, Streatham","£1,300,000",Terraced,5.0,3.0,Ask agent
"Aldbourne Road, Shepherds Bush, London","£1,300,000",House,5.0,2.0,Ask agent
"Cardigan Road, Richmond","£1,300,000",Flat,3.0,3.0,Ask agent
"Wells Street, London, Westminster, W1T","£1,300,000",Apartment,2.0,2.0,878 sq ft
"Mapple Path, Hackney Downs, E5","£1,300,000",Penthouse,3.0,2.0,"1,087 sq ft"
"Crossharbour Plaza, E14, Canary Wharf, London, E14","£1,300,000",Flat,3.0,3.0,"1,325 sq ft"
"Capital Building, Embassy Gardens, London, SW11","£1,300,000",Apartment,2.0,2.0,"1,026 sq ft"
"Primrose Hill Road, London, NW3","£1,300,000",Apartment,2.0,1.0,"1,008 sq ft"
"Greencoat Place, Victoria, London, SW1P","£1,300,000",Terraced,2.0,2.0,900 sq ft
"Richmond Hill, 
Richmond, TW10","£1,300,000",Flat,3.0,2.0,Ask agent
"Coptain House, Eastfields Avenue, London, SW18","£1,200,000",Apartment,2.0,2.0,"1,246 sq ft"
"Ridgway, London, SW19","£1,300,000",Flat,3.0,2.0,"1,750 sq ft"
"Frognal, London, NW3","£1,300,000",Flat,2.0,2.0,"1,035 sq ft"
"Cromwell Road, South Kensington, London, SW7","£1,300,000",Penthouse,3.0,2.0,"1,440 sq ft"
"Thurlow Road, London, NW3","£1,300,000",Flat,2.0,2.0,"1,008 sq ft"
"Montagu Mansions, Marylebone","£1,300,000",Apartment,2.0,1.0,883 sq ft
"Oppidans Road, Primrose Hill, London, NW3","£1,300,000",Maisonette,3.0,2.0,"1,230-1,444 sq ft"
"Cropthorne Court, 20-28 Maida Vale, London, W9","£1,300,000",Apartment,4.0,2.0,"1,200 sq ft"
"Northcote Road, St Margarets","£1,300,000",House,5.0,3.0,Ask agent
"Marlborough Road, Upper Holloway","£1,300,000",House,4.0,1.0,Ask agent
"Ormonde Court, Belsize Grove, NW3","£1,300,000",Penthouse,2.0,2.0,"1,169 sq ft"
"South Western Road, London, TW1","£1,300,000",Semi-Detached,4.0,2.0,"1,387 sq ft"
"Bedford Court Mansions, Bedford Avenue, WC1B","£1,300,000",Apartment,2.0,2.0,"1,142 sq ft"
"Britten Street, Chelsea, London, SW3","£1,300,000",Flat,2.0,1.0,687 sq ft
"Chiltern Street, London, W1U","£1,300,000",Flat,3.0,1.0,945 sq ft
"Crystal Palace Road, East Dulwich","£1,300,000",Semi-Detached,5.0,1.0,Ask agent
"Trinity Road, Balham","£1,300,000",House,6.0,4.0,Ask agent
"Swan Court, Star Place, London, E1W","£1,300,000",Apartment,2.0,2.0,Ask agent
"Keybridge, London, SW8","£1,300,000",Studio,,2.0,"1,269 sq ft"
"St. John's Hill Grove, Battersea, London SW11","£1,300,000",End of Terrace,4.0,3.0,"1,807 sq ft"
Greencoat Place,"£1,300,000",House,2.0,2.0,900 sq ft
"Upland Road East Dulwich, London, SE22","£1,300,000",Town House,4.0,2.0,Ask agent
"Harley Road, Primrose Hill, London, NW3","£1,300,000",Flat,3.0,2.0,"1,017 sq ft"
"Glenmere Avenue, Mill Hill, London, NW7","£1,300,000",Detached,4.0,2.0,Ask agent
"Bankside Lofts, 
65 Hopton Street, SE1","£1,300,000",Flat,2.0,2.0,"1,152 sq ft"
New Union Square London SW8,"£1,200,000",Apartment,2.0,2.0,Ask agent
"Webbs Road, Battersea","£1,300,000",End of Terrace,3.0,3.0,Ask agent
"Embassy Gardens, Nine Elms, London, SW11","£1,300,000",Flat,2.0,2.0,"1,038 sq ft"
"Lake Road, Wimbledon, London, SW19","£1,300,000",Semi-Detached,2.0,2.0,"1,549 sq ft"
"Dyer's Buildings, London, EC1N","£1,300,000",Apartment,2.0,2.0,776 sq ft
"Rutland Gate, Knightsbridge, SW7","£1,300,000",Apartment,1.0,1.0,584 sq ft
"Cholmeley Park, Highgate","£1,300,000",Flat,4.0,3.0,Ask agent
"Allfarthing Lane, Wandsworth","£1,300,000",House,4.0,2.0,Ask agent
"St Johns Building, 79 Marsham Street, Westminster, London, SW1P","£1,300,000",Flat,3.0,2.0,"1,120 sq ft"
"Melbourne Terrace, London, SW6","£1,300,000",Terraced,3.0,2.0,"1,404 sq ft"
"Dorset House, Mount Pleasant, WC1X","£1,300,000",Apartment,2.0,2.0,Ask agent
"8 Casson Square, London, SE1","£1,300,000",Apartment,1.0,1.0,667 sq ft
"Wilton Road, London, N10","£1,300,000",Semi-Detached,4.0,1.0,Ask agent
"Princes Gate, London, SW7","£1,300,000",Flat,2.0,2.0,918 sq ft
"Cavendish House, Wellington Road, St John's Wood, NW8.","£1,300,000",Flat,2.0,2.0,"1,156 sq ft"
"The Tower, St George Wharf, Vauxhall, SW8","£1,300,000",Apartment,2.0,2.0,"1,274 sq ft"
"Abbey Road, St John's Wood, London, NW8","£1,300,000",Flat,3.0,2.0,"1,066 sq ft"
"Michelham Gardens, Twickenham","£1,300,000",End of Terrace,4.0,2.0,"1,761 sq ft"
"Capital Building, Embassy Gardens, Nine Elms","£1,300,000",Apartment,2.0,2.0,"1,026 sq ft"
"Horseferry Road, London, SW1P","£1,300,000",Flat,2.0,2.0,Ask agent
"Casson Square, Waterloo, London","£1,300,000",Flat,1.0,1.0,Ask agent
"Rose Square, London","£1,300,000",Terraced,1.0,1.0,656 sq ft
Crossharbour Crescent London E14,"£1,300,000",Apartment,3.0,2.0,Ask agent
"Arlington Road, Camden, London, NW1","£1,300,000",Penthouse,3.0,3.0,"1,187 sq ft"
"Newcastle Place, London, W2","£1,300,000",Flat,2.0,2.0,802 sq ft
"Ongar Road, 
Fulham, SW6","£1,300,000",Maisonette,4.0,2.0,"1,259 sq ft"
"Bramham Gardens, Earls Court, London, SW5","£1,300,000",Flat,3.0,3.0,"1,383 sq ft"
"Heathfield Road, Acton","£1,300,000",Terraced,5.0,3.0,Ask agent
"Earlsthorpe Road, Sydenham","£1,300,000",Terraced,5.0,2.0,Ask agent
"Nile Works, 
95-97 East Road, N1","£1,300,000",Flat,2.0,1.0,"1,000 sq ft"
"Dorset Street, Marylebone, London, W1U","£1,300,000",Apartment,3.0,,"1,037 sq ft"
"The Mall, London, N14","£1,300,000",Semi-Detached,5.0,2.0,Ask agent
"Bryanston House, Dorset Street","£1,300,000",Apartment,3.0,2.0,"1,037 sq ft"
"Trinity Rise, London, SW2","£1,300,000",Terraced,5.0,2.0,Ask agent
"Ridge Close, Hendon","£1,300,000",Detached,8.0,3.0,Ask agent
"Devonshire Road, Chiswick, London, W4","£1,300,000",Terraced,2.0,2.0,Ask agent
"Sebert Road, Forest Gate, London, E7","£1,300,000",House,5.0,4.0,"1,849 sq ft"
"Wandsworth Bridge Road, 
Fulham, SW6","£1,300,000",Land,3.0,1.0,Ask agent
"Quentin Road, Lewisham, London, SE13","£1,300,000",Terraced,4.0,2.0,Ask agent
"Cromwell Road, South Kensington, London, SW7","£1,300,000",Apartment,4.0,3.0,"1,449 sq ft"
"Warwick Square, Westminster","£1,300,000",Flat,2.0,2.0,Ask agent
"Upper Brockley Road, Brockley","£1,300,000",Terraced,4.0,1.0,Ask agent
"Wheat Wharf Apartments, 27 Shad Thames, London","£1,300,000",Flat,2.0,2.0,"1,410 sq ft"
"Oakfield Road, London","£1,300,000",End of Terrace,6.0,3.0,"2,809 sq ft"
"McLeod's Mews, South Kensington","£1,300,000",Mews,2.0,1.0,Ask agent
"Ansell Road, Tooting Bec, London, SW17","£1,300,000",Semi-Detached,4.0,1.0,"1,671 sq ft"
"Egerton Drive, Fitzroy Gate, TW7","£1,300,000",Detached,3.0,3.0,"2,862 sq ft"
"30 Park Avenue,
Willesden green,
London,
NW25AR","£1,300,000",Penthouse,3.0,2.0,940 sq ft
"Wells Street, London, W1T","£1,300,000",Flat,2.0,2.0,878 sq ft
"Shelbury Road, East Dulwich, London, SE22","£1,200,000",Semi-Detached,3.0,1.0,Ask agent
"Amory Tower, 203 Marsh Wall, Canary Wharf, London, E14","£1,300,000",Apartment,3.0,2.0,"1,338 sq ft"
"Redchurch Street, London, E2","£1,300,000",Penthouse,3.0,2.0,"1,078 sq ft"
"Craven Avenue, London","£1,300,000",Semi-Detached,8.0,8.0,Ask agent
"The Yoo Building, Hall Road, St John's Wood, London, NW8","£1,300,000",Apartment,2.0,2.0,"1,300 sq ft"
"West Lodge Avenue, London, W3","£1,300,000",Semi-Detached,5.0,2.0,"2,337 sq ft"
"Bollo Lane, Chiswick","£1,300,000",House,4.0,2.0,Ask agent
"Northumberland Avenue, London","£1,300,000",Semi-Detached,4.0,1.0,"1,680 sq ft"
"Craven Avenue, London","£1,300,000",Semi-Detached,7.0,7.0,Ask agent
Eastcastle Street,"£1,300,000",,2.0,2.0,Ask agent
"Buckingham Gate, London, SW1E","£1,300,000",Apartment,2.0,1.0,994 sq ft
"Frognal Lane, Hampstead, NW3","£1,300,000",Apartment,2.0,2.0,Ask agent
"Chelmsford Road, Leytonstone, E11","£1,300,000",Terraced,5.0,2.0,Ask agent
"Fawley Road, London, NW6","£1,300,000",Flat,2.0,2.0,"1,329 sq ft"
"Bruno Place, Kingsbury, London, NW9","£1,300,000",Detached,6.0,7.0,"2,169-2,170 sq ft"
"Atheldene Road,
London,
SW18 3BW","£1,300,000",Town House,4.0,2.0,"1,411 sq ft"
"Boscombe Road, Wimbledon, London, SW19","£1,300,000",Terraced,4.0,2.0,Ask agent
"The Village, Amies Street, Clapham Junction, SW11","£1,300,000",Apartment,2.0,2.0,"1,449 sq ft"
"Juniper Garden, Oval Village, SE11","£1,300,000",Apartment,3.0,2.0,Ask agent
"Westminster Green, Dean Ryle Street, SW1P","£1,300,000",Apartment,3.0,2.0,"1,011 sq ft"
Inglewood Road,"£1,300,000",Apartment,3.0,2.0,"1,210 sq ft"
"Tunley Road, London, SW17","£1,300,000",Terraced,6.0,2.0,Ask agent
"Burton Court, Chelsea, SW3","£1,300,000",Flat,2.0,2.0,668 sq ft
"Dickenswood Close, Crystal Palace","£1,300,000",Semi-Detached,5.0,4.0,Ask agent
"Onslow Gardens, South Kensington","£1,300,000",Flat,2.0,1.0,Ask agent
"Lucien Road, London","£1,200,000",Terraced,5.0,2.0,Ask agent
"Sussex Place, Hyde Park","£1,300,000",Flat,2.0,2.0,Ask agent
"St. Marks Road, London, UK, W10","£1,300,000",Apartment,2.0,1.0,Ask agent
"Boileau Road, Ealing, W5","£1,300,000",Semi-Detached,4.0,2.0,Ask agent
"Ferme Park Road, London, N4","£1,300,000",Semi-Detached,6.0,4.0,"2,238 sq ft"
"Vermont House, 250 City Road","£1,300,000",Apartment,2.0,2.0,806 sq ft
"Bray Place, Chelsea","£1,300,000",Apartment,2.0,2.0,Ask agent
"Bickersteth Road, Tooting, London SW17","£1,300,000",Plot,,,Ask agent
"East Hill, Wandsworth, SW18","£1,300,000",Apartment,3.0,3.0,"1,003 sq ft"
"Langdon Park, Teddington","£1,299,999",House,2.0,2.0,Ask agent
"Valencia Tower, 250 City Road, EC1V","£1,299,999",Flat,2.0,2.0,Ask agent
"Mount Pleasant, Chancery Lane, WC1X","£1,299,995",Apartment,2.0,2.0,775 sq ft
"Hiley Road, London, NW10","£1,299,950",Terraced,4.0,2.0,"1,450 sq ft"
"Greyhound Road, London, NW10","£1,299,950",Terraced,4.0,2.0,"1,500 sq ft"
"Hiley Road, London, NW10","£1,299,950",Terraced,4.0,2.0,"1,449 sq ft"
"Mortimer Road, London, NW10","£1,299,950",House,3.0,1.0,"1,266 sq ft"
"51 The Mall, London, W5","£1,299,000",Apartment,3.0,3.0,Ask agent
"Star Place, London, E1W","£1,299,000",Apartment,2.0,2.0,"1,246 sq ft"
"Albert Embankment, London, SE1","£1,299,000",Apartment,2.0,2.0,Ask agent
"Maresfield Gardens, Hampstead, London, NW3","£1,299,000",House,2.0,2.0,"1,120 sq ft"
"3 Arnhem Place, London, E14","£1,299,000",Apartment,3.0,3.0,Ask agent
"Waldegrave Road, Teddington","£1,299,000",End of Terrace,4.0,2.0,Ask agent
"Robinsons Close, Ealing","£1,299,000",House,4.0,2.0,Ask agent
"Marlborough Place, London, NW8","£1,298,500",Apartment,3.0,2.0,"1,102 sq ft"
"Marlborough Place, St John's Wood, London, NW8","£1,298,500",Apartment,3.0,2.0,"1,102 sq ft"
"Worgan Street, Vauxhall, SE11 5EE","£1,297,000",Apartment,2.0,2.0,"1,144 sq ft"
"Racton Road, Fulham","£1,295,000",Flat,4.0,4.0,Ask agent
"Lamb Lane, London Fields, London, E8","£1,295,000",Terraced,3.0,3.0,"1,324 sq ft"
"Sutherland Avenue, Maida Vale, London, W9","£1,295,000",Apartment,3.0,2.0,"1,140 sq ft"
"Lavington Road, West Ealing","£1,295,000",Semi-Detached,4.0,1.0,Ask agent
"Gibsons Hill, Streatham","£1,295,000",Detached,4.0,2.0,Ask agent
"Carden Road, Peckham, London","£1,295,000",House,4.0,1.0,Ask agent
"Queens Walk, Kingsbury, NW9","£1,295,000",Semi-Detached,4.0,3.0,Ask agent
"Legacy Building, Embassy Gardens, Viaduct Gardens, London","£1,295,000",Apartment,2.0,2.0,Ask agent
"St John's Wood Court, St John's Wood Road NW8","£1,295,000",Flat,3.0,2.0,"1,094 sq ft"
"Clapham Common North Side, London, SW4","£1,295,000",Flat,2.0,3.0,"1,799 sq ft"
"Marlborough Court, London, W8","£1,295,000",Flat,3.0,2.0,"1,030 sq ft"
"Wenlock Road, London, N1","£1,295,000",Apartment,2.0,2.0,"1,352 sq ft"
"Wynchgate, Winchmore Hill, London, N21","£1,295,000",Semi-Detached,4.0,3.0,Ask agent
"Chelsea Creek, London, SW6","£1,295,000",Flat,2.0,2.0,892 sq ft
"Lansdowne Way, Stockwell","£1,295,000",Terraced,4.0,2.0,Ask agent
"Myddelton Gardens, N21","£1,295,000",Detached,6.0,4.0,Ask agent
"Mapledene Road, London Fields, London, E8","£1,295,000",End of Terrace,3.0,1.0,"1,025 sq ft"
"Duke Street, London, W1K","£1,295,000",Flat,1.0,1.0,601 sq ft
"Bute Mews, Hampstead Garden Suburb, NW11","£1,295,000",Terraced,3.0,2.0,Ask agent
"Coleherne Court, 
The Little Boltons, SW5","£1,295,000",Flat,3.0,2.0,"1,120 sq ft"
"Urlwin Street, Camberwell","£1,295,000",House,4.0,2.0,Ask agent
"Picton Place, London, W1U","£1,295,000",Apartment,2.0,1.0,687 sq ft
"Foundry House, Battersea Exchange","£1,295,000",Apartment,3.0,2.0,"1,055 sq ft"
"Queens Walk, Kingsbury, London, NW9","£1,295,000",Semi-Detached,5.0,3.0,"1,922-1,923 sq ft"
"Chesson Road, 
Fulham, W14","£1,295,000",Maisonette,3.0,2.0,"1,265 sq ft"
"Plimsoll Building, N1C","£1,295,000",Flat,2.0,2.0,968 sq ft
"Eastbourne Gardens, East Sheen","£1,295,000",House,4.0,2.0,Ask agent
"Cranmer Court, Whiteheads Grove, London, SW3","£1,295,000",Flat,2.0,2.0,732 sq ft
"Picton Place, 
Marylebone, W1U","£1,295,000",Flat,2.0,1.0,675 sq ft
"Albert Mansions, Luxborough Street, London, W1U","£1,295,000",Flat,2.0,2.0,829 sq ft
"Somerset Road, Wimbledon, SW19","£1,295,000",Flat,2.0,2.0,"1,503 sq ft"
"Havelock Walk, London, SE23","£1,295,000",Town House,3.0,2.0,Ask agent
"St. John's Wood Court, 
St. John's Wood Road, NW8","£1,295,000",Flat,3.0,2.0,"1,094 sq ft"
"Marlborough Court, Pembroke Road, London, W8","£1,295,000",Flat,3.0,2.0,"1,058 sq ft"
"Racton Road, 
Fulham, SW6","£1,295,000",Maisonette,4.0,4.0,"1,513 sq ft"
"25 Gosfield Street, London, W1W","£1,295,000",Apartment,2.0,2.0,Ask agent
"Baker Street, Marylebone , London, W1U","£1,295,000",Apartment,2.0,2.0,Ask agent
"Ambassador Building, Embassy Gardens, Nine Elms, SW11","£1,295,000",Apartment,2.0,2.0,Ask agent
"Hall Road, St John's Wood, NW8","£1,295,000",Flat,2.0,2.0,959 sq ft
"Mapledene Road, Hackney, E8","£1,295,000",Terraced,3.0,1.0,Ask agent
"Gladstone Street, London, SE1","£1,295,000",Terraced,3.0,3.0,"1,418 sq ft"
"Queens Walk, Kingsbury, London, NW9","£1,295,000",Semi-Detached,4.0,3.0,"2,170 sq ft"
"Mapledene Road, Hackney, London, E8","£1,295,000",End of Terrace,3.0,1.0,"1,053 sq ft"
"Ashmead Road, St. John's, SE8","£1,295,000",Terraced,4.0,2.0,Ask agent
"Brett Road, Hackney, E8","£1,295,000",Terraced,3.0,3.0,"1,409 sq ft"
"Coleherne Court, The Little Boltons, London, SW5","£1,295,000",Apartment,3.0,2.0,"1,236 sq ft"
"Little Adelphi, John Adam Street, WC2","£1,295,000",Apartment,2.0,2.0,840 sq ft
"Southridge Place, London, SW20","£1,295,000",Terraced,4.0,2.0,"1,566 sq ft"
"Ethan Drive, East Finchley, London, N2","£1,250,000",Detached,4.0,3.0,"1,410 sq ft"
"Tompion Street, London, EC1V","£1,295,000",End of Terrace,3.0,,"1,180 sq ft"
"Haven Green, Ealing","£1,295,000",Apartment,3.0,3.0,"1,206 sq ft"
"Rothsay Street, London, SE1","£1,295,000",Terraced,2.0,3.0,"1,303 sq ft"
"Picton Place, Marylebone, London, W1U, United Kingdom","£1,295,000",Flat,2.0,1.0,680 sq ft
"Truro House, Clerkenwell, WC1X","£1,295,000",Apartment,2.0,2.0,797 sq ft
"Priory Terrace, London, NW6","£1,295,000",Apartment,3.0,2.0,"1,174 sq ft"
"Dawson House, Battersea Power Station","£1,295,000",Apartment,2.0,2.0,886 sq ft
"Marsh Wall, E14","£1,295,000",Apartment,2.0,3.0,Ask agent
"Marlborough Court, Pembroke Road, Kensington, London, W8","£1,295,000",Flat,3.0,2.0,"1,058 sq ft"
"Sands End Lane, London, SW6","£1,295,000",Apartment,2.0,2.0,847 sq ft
"Buxton Road, London, E4","£1,295,000",Semi-Detached,2.0,2.0,"2,621 sq ft"
"Oakhill Road, Putney","£1,295,000",House,4.0,2.0,Ask agent
"Merchant Square, Paddington, London, W2","£1,295,000",Apartment,2.0,2.0,"1,129 sq ft"
"Sheringham, St John's Wood Park, St John's Wood, London, NW8","£1,295,000",Apartment,2.0,2.0,854 sq ft
"Elvaston Place, London, SW7","£1,295,000",Apartment,2.0,3.0,"1,447 sq ft"
"Brocklebank Road, SW18","£1,295,000",House,4.0,2.0,"1,500 sq ft"
"Draycott Place, London, SW3","£1,295,000",Apartment,2.0,2.0,"1,005 sq ft"
"Buckhold Road, London, SW18","£1,295,000",Penthouse,3.0,3.0,"1,301 sq ft"
"St. John's Wood Court, London, NW8","£1,295,000",Flat,3.0,2.0,"1,064 sq ft"
"Bute Mews, Hampstead Garden Suburb","£1,295,000",Terraced,3.0,2.0,Ask agent
"Lockgate Road, London, SW6","£1,295,000",Apartment,2.0,2.0,860 sq ft
Elnathan Mews,"£1,295,000",Mews,2.0,2.0,Ask agent
"Picton Place, Marylebone","£1,295,000",Apartment,2.0,2.0,690 sq ft
"Moreton Street, Pimlico, London, SW1V","£1,250,000",Apartment,3.0,3.0,"1,170 sq ft"
"Draycott Place, Chelsea, London, SW3","£1,295,000",Apartment,2.0,2.0,719 sq ft
"Onslow Gardens, London, SW7","£1,295,000",Apartment,2.0,1.0,675 sq ft
"Wyatt Park Road, Streatham","£1,295,000",Terraced,5.0,2.0,Ask agent
"Priory Terrace, West Hampstead","£1,295,000",Flat,3.0,2.0,Ask agent
"L-000851, 11 Circus Road West, Battersea","£1,295,000",Apartment,2.0,2.0,Ask agent
"Somerset Road, London, SW19","£1,295,000",Flat,2.0,2.0,"1,503 sq ft"
"Beaufort Gardens, London, SW3","£1,295,000",Flat,2.0,1.0,695 sq ft
